-72.3047 -39.1227 -39.0837 -39.0837 -15.8847 -3.7227 -1.1817 -1.1817 9.7493 9.6303 13.3943
-72.3047 -39.1247 -39.0847 -39.0847 -15.8567 -3.7687 -1.2027 -1.2027 9.8033 9.5643 13.3303
-72.3037 -39.1257 -39.0847 -39.0847 -15.8297 -3.8107 -1.2217 -1.2217 9.8503 9.5033 13.2773
-72.3037 -39.1267 -39.0857 -39.0857 -15.8057 -3.8497 -1.2407 -1.2407 9.8893 9.4473 13.2343
-72.3037 -39.1277 -39.0857 -39.0857 -15.7827 -3.8857 -1.2567 -1.2567 9.9213 9.3963 13.1993
-72.3037 -39.1287 -39.0857 -39.0857 -15.7617 -3.9177 -1.2727 -1.2727 9.9463 9.3493 13.1733
-72.3037 -39.1287 -39.0867 -39.0867 -15.7427 -3.9457 -1.2857 -1.2857 9.9653 9.3083 13.1533
-72.3037 -39.1297 -39.0867 -39.0867 -15.7267 -3.9707 -1.2977 -1.2977 9.9803 9.2713 13.1393
-72.3037 -39.1307 -39.0867 -39.0867 -15.7117 -3.9927 -1.3087 -1.3087 9.9903 9.2393 13.1293
-72.3027 -39.1307 -39.0877 -39.0877 -15.6997 -4.0107 -1.3177 -1.3177 9.9983 9.2123 13.1233
-72.3027 -39.1317 -39.0877 -39.0877 -15.6897 -4.0257 -1.3247 -1.3247 10.0023 9.1903 13.1193
-72.3027 -39.1317 -39.0877 -39.0877 -15.6817 -4.0377 -1.3307 -1.3307 10.0053 9.1733 13.1183
-72.3027 -39.1317 -39.0877 -39.0877 -15.6757 -4.0457 -1.3347 -1.3347 10.0073 9.1613 13.1173
-72.3027 -39.1317 -39.0877 -39.0877 -15.6717 -4.0507 -1.3367 -1.3367 10.0083 9.1543 13.1173
-72.3027 -39.1317 -39.0877 -39.0877 -15.6707 -4.0527 -1.3377 -1.3377 10.0083 9.1513 13.1173
-72.3027 -39.1317 -39.0877 -39.0877 -15.6707 -4.0507 -1.3427 -1.3377 10.0133 9.1563 13.1153
-72.3027 -39.1317 -39.0877 -39.0877 -15.6707 -4.0467 -1.3577 -1.3357 10.0283 9.1713 13.1103
-72.3027 -39.1317 -39.0887 -39.0877 -15.6697 -4.0387 -1.3827 -1.3337 9.1953 10.0533 13.1023
-72.3027 -39.1317 -39.0887 -39.0877 -15.6677 -4.0287 -1.4177 -1.3297 9.2273 10.0883 13.0903
-72.3027 -39.1307 -39.0897 -39.0877 -15.6667 -4.0147 -1.4607 -1.3247 9.2673 10.1333 13.0763
-72.3027 -39.1307 -39.0897 -39.0867 -15.6647 -3.9987 -1.5127 -1.3187 9.3133 10.1903 13.0583
-72.3027 -39.1307 -39.0907 -39.0867 -15.6617 -3.9787 -1.5717 -1.3117 9.3643 10.2573 13.0373
-72.3027 -39.1297 -39.0917 -39.0867 -15.6597 -3.9567 -1.6377 -1.3047 9.4193 10.3363 13.0133
-72.3027 -39.1297 -39.0927 -39.0867 -15.6577 -3.9307 -1.7107 -1.2957 9.4763 10.4263 12.9863
-72.3027 -39.1287 -39.0937 -39.0857 -15.6547 -3.9027 -1.7887 -1.2857 9.5353 10.5263 12.9573
-72.3027 -39.1277 -39.0947 -39.0857 -15.6517 -3.8717 -1.8717 -1.2747 9.5953 10.6363 12.9253
-72.3027 -39.1277 -39.0957 -39.0847 -15.6497 -3.8377 -1.9587 -1.2627 9.6563 10.7543 12.8913
-72.3027 -39.1267 -39.0967 -39.0847 -15.6467 -3.8007 -2.0477 -1.2497 9.7173 10.8783 12.8543
-72.3027 -39.1257 -39.0987 -39.0847 -15.6447 -3.7607 -2.1397 -1.2367 9.7773 11.0083 12.8153
-72.3027 -39.1247 -39.0997 -39.0837 -15.6427 -3.7187 -2.2337 -1.2217 9.8383 11.1413 12.7743
-72.3027 -39.1237 -39.1007 -39.0827 -15.6417 -3.6737 -2.3267 -1.2057 9.8973 11.2763 12.7323
-72.3027 -39.1227 -39.1027 -39.0827 -15.6407 -3.6257 -2.4207 -1.1897 9.9563 11.4123 12.6883
-72.3027 -39.1217 -39.1037 -39.0817 -15.6407 -3.5757 -2.5147 -1.1727 10.0133 11.5463 12.6423
-72.3027 -39.1207 -39.1047 -39.0817 -15.6417 -3.5227 -2.6067 -1.1547 10.0683 11.6773 12.5963
-72.3027 -39.1197 -39.1067 -39.0807 -15.6427 -3.4677 -2.6967 -1.1357 10.1213 11.8043 12.5483
-72.3027 -39.1067 -39.1197 -39.0807 -15.6427 -2.6967 -3.4677 -1.1357 10.1213 11.8043 12.5483
-72.3037 -39.1077 -39.1177 -39.0807 -15.6447 -2.7807 -3.4117 -1.1167 10.1683 11.9243 12.5023
-72.3037 -39.1097 -39.1167 -39.0797 -15.6487 -2.8627 -3.3537 -1.0967 10.2113 12.0383 12.4553
